SKU,Name,Collection,Category,Gender,Color,Url
7192131114,,GIRLS          ,Bottoms,GIRLS          ,Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7192131114-2.JPG
7192140100,,GIRLS          ,Bottoms,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7192140100-1.JPG
7192181199,,GIRLS          ,Bottoms,GIRLS          ,Light Jeans,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7192181199-1.JPG
7301690100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7301690100-1.JPG
7301690200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7301690200-2.JPG
7301710200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7301710200-2.JPG
7310110100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7310110100-1.JPG
7310120200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7310120200-1.JPG
7310122592,,GIRLS          ,Tops,GIRLS          ,Fuschia & Cerise,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7310122592-2.JPG
7383300100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738330-1.JPG
7383310500,,GIRLS          ,Tops,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833105-1.JPG
7383333800,,GIRLS          ,Tops,GIRLS          ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833338-2.JPG
7383341400,,GIRLS          ,Tops,GIRLS          ,Mint,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833414-1.JPG
7383350100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833501-1.JPG
7383360200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833602-1.JPG
7383381000,,GIRLS          ,Tops,GIRLS          ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833810-1.JPG
7383390100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73833901-1.JPG
7383403800,,GIRLS          ,Tops,GIRLS          ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/73834038-3.JPG
7383450100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738345-10.JPG
7383450500,,GIRLS          ,Tops,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738345-3.JPG
7383451000,,GIRLS          ,Tops,GIRLS          ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738345-6.JPG
7383452599,,GIRLS          ,Tops,GIRLS          ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738345-8.JPG
7383453800,,GIRLS          ,Tops,GIRLS          ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738345-5.JPG
7383490100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738349-2.JPG
7383501000,,GIRLS          ,Tops,GIRLS          ,Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738350-1.JPG
7383512599,,GIRLS          ,Tops,GIRLS          ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738351-1.JPG
7383523800,,GIRLS          ,Tops,GIRLS          ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738352-1.JPG
7383536700,,GIRLS          ,Tops,GIRLS          ,Light Yellow,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738353-1.JPG
7383540500,,GIRLS          ,Tops,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738354-1.JPG
7383623800,,GIRLS          ,Tops,GIRLS          ,Pastel Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738362-2.JPG
7383650200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738365-1.JPG
7383719956,,GIRLS          ,Tops,GIRLS          ,Silver,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7383719956-3.JPG
7383740100,,GIRLS          ,Tops,GIRLS          ,White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738374-1.JPG
7383782599,,GIRLS          ,Tops,GIRLS          ,Light Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/738378-1.JPG
7400600200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7400600200-1.JPG
7400610200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/740061-2.JPG
7400623945,,GIRLS          ,Tops,GIRLS          ,Pink/Purple,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7400623945-1.JPG
7450619400,,GIRLS          ,Tops,GIRLS          ,Off White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7450619400-1.JPG
7472610500,,GIRLS          ,Tops,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/747261-1.JPG
7501633701,,GIRLS          ,Dresses,GIRLS          ,Light Smoke Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7501633701-1.JPG
7501630200,,GIRLS          ,Dresses,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7501630200-2.JPG
7501650200,,GIRLS          ,Tops,GIRLS          ,Black,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/750165-5.JPG
7554509956,,GIRLS          ,Dresses,GIRLS          ,Silver,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7554509956-2.JPG
7554529400,,GIRLS          ,Dresses,GIRLS          ,Off White,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7554529400-1.JPG
7573492500,,GIRLS          ,Dresses,GIRLS          ,Fuchsia,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573492500-1.JPG
7573500500,,GIRLS          ,Dresses,GIRLS          ,Grey Melange,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573500500-1.JPG
7573517600,,GIRLS          ,Dresses,GIRLS          ,Lemon,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573517600-1.JPG
7573531085,,GIRLS          ,Dresses,GIRLS          ,Dark Navy,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573531085-2.JPG
7573563998,,GIRLS          ,Dresses,GIRLS          ,Gum Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573569338-1.JPG
7573563899,,GIRLS          ,Dresses,GIRLS          ,Light Pink,https://wtdm.s3-ap-southeast-1.amazonaws.com/03_Prod/Fox/SS20_FTP/7573563998-1.JPG
